financial_year,Region,council,Population,premises_residential,premises_nonresidential,premises_with_garbage_service_residential,premises_with_garbage_service_nonresidential,garbage_service_frequency,garbage_collected_total_tonnes,garbage_collected_total_tonnes_estimated,premises_with_kerbside_recycling_service_residential,premises_with_kerbside_recycling_service_nonresidential,kerbside_recycling_service_frequency,kerbside_recycling_total_collected_tonnes,kerbside_recycling_total_recycled_tonnes,kerbside_recycling_glass_all_recycled_tonnes,kerbside_recycling_metal_recycled_tonnes,kerbside_recycling_paper_all_recycled_tonnes,kerbside_recycling_plastics_all_recycled_tonnes,kerbside_organics_premises_residential,kerbside_organics_bin_frequency,kerbside_organics_fogo_included,kerbside_organics_collected_tonnes,kerbside_organics_processed_tonnes,dropoff_garbage_collected_tonnes,dropoff_recycling_collected_tonnes,premises_with_kerbside_glass_service_residential,premises_with_kerbside_glass_service_nonresidential,kerbside_glass_service_frequency,kerbside_glass_total_collected_tonnes,premises_with_access_to_hardwaste_service_residential,hardwaste_collected_tonnes,hardwaste_disposed_tonnes,totaltonnes
2023-2024,Goulburn Ovens Murray,Alpine,13240,5389,3127,6549,362,Fortnightly,1279.5,,6595,339,Fortnightly,1381,1279.84,340.7,51.86,880.56,,6263,Weekly,Yes,2440.4,2438.45,,1325.5,,,,,,,,5100.9
2023-2024,Wimmera Southern Mallee Central Highlands,Ararat,11761,4360,1601,5061,285,Weekly,2105,,5324,284,Fortnightly,708,579.58,,,,,4380,Fortnightly,No,1032,1032,,,5324,38,Monthly,473,,,,3845
2023-2024,Wimmera Southern Mallee Central Highlands,Ballarat,119109,49589,8949,51983,0,Weekly,21962,,51983,0,Fortnightly,5856,4684.8,234.24,409.92,2928,,42179,Fortnightly,No,12354,12230.46,,0,,,,,,,,40172
2023-2024,Metropolitan,Banyule,129895,54162,3475,50694,741,Fortnightly,15621,,50694,7,Fortnightly,10331,8457.08,3294,381,4694,,50694,Weekly,Yes,17773,17341.12,,,,,,,,1938,,43725
2023-2024,Gippsland,Bass Coast,42888,28285,3542,28621,1200,Fortnightly,6099.75,,28621,1200,Fortnightly,4377.94,4229.09,1471,0,1559,,28621,Weekly,Yes,12507.56,12302.44,,223.52,,,,,,105.67,,22985.25
2023-2024,Gippsland,Baw Baw,61301,24102,4090,25841,564,Fortnightly,11476,,25243,564,Fortnightly,4834,4350.6,,,,,25380,Fortnightly,No,8283,7868.85,,2054,,,,,,626.62,,24593
2023-2024,Metropolitan,Bayside,104305,43270,3445,38990,2346,Fortnightly,11412.62,,38990,2346,Fortnightly,9653.57,9461.46,3077.56,355.25,4386.58,,35723,Weekly,Yes,17673,17337.21,,,,,,,,2886.53,,38739.19
2023-2024,Goulburn Ovens Murray,Benalla,14544,5224,2954,6991,374,Fortnightly,2295.98,,6943,374,Fortnightly,1296.57,1166.91,,,,,5031,Weekly,Yes,1846.62,1823.17,,118.28,,,,,,,,5439.17
2023-2024,Metropolitan,Boroondara,174774,74023,6863,65000,3500,Fortnightly,17120,,65000,3500,Weekly,15075,13266,4806,555,6850,,65000,Weekly,Yes,27700,24653,,1420,,,,,,3000,,59895
2023-2024,Metropolitan,Brimbank,197185,69954,8340,71613,1000,Weekly,41807,,71631,0,Fortnightly,13672,10527.44,2284.59,550.98,4454.34,,43500,Fortnightly,Yes,14977.1,14452.9,,,,,,,,2516.08,,70456.1
2023-2024,Loddon Campaspe Mallee,Buloke,6052,2680,3567,2497,239,Weekly,2277,,2497,239,Fortnightly,704.8,576.96,,,,,,,,0,,,,,,,,,,,2981.8
2023-2024,Loddon Campaspe Mallee,Campaspe,38592,12762,8369,16566,2896,Weekly,7651.35,,16554,2898,Fortnightly,3376,2798.03,247,132,1536,,10020,Fortnightly,Yes,3811,3760.31,,266,,,,,,,,14838.35
2023-2024,Metropolitan,Cardinia,129157,44098,5272,44633,831,Weekly,22964.34,,44633,873,Fortnightly,9688.36,6878.74,,,,,29704,Fortnightly,Yes,11584.74,11555.78,,,,,,,,3807,,44237.44
2023-2024,Metropolitan,Casey,397751,129964,9118,132501,1099,Weekly,69226.13,,132501,1183,Fortnightly,28630.12,20899.99,601,658,12798,,116376,Fortnightly,Yes,41420.25,41080.6,,,,,,,,15321.43,,139276.5
2023-2024,Loddon Campaspe Mallee,Central Goldfields,13601,6694,1509,6380,444,Weekly,2343.94,,6380,444,Fortnightly,1156.32,946.58,,,,,2155,First and Third Friday of each Month,Yes,790.1,782.2,,66.2,,,,,,0,,4290.36
2023-2024,Great South Coast Barwon,Colac Otway,22366,11389,3495,10731,530,Weekly,3997,,10671,530,Fortnightly,1293,1058.46,,,,,10731,Fortnightly,Yes,3058,3058,,301.96,10731,530,4 weekly,326,,,,8348
2023-2024,Great South Coast Barwon,Corangamite,15921,6010,3315,5597,,Weekly,1991,,5597,,Fortnightly,953,810.05,,,,,5597,Fortnightly,Yes,1869,1842.46,,,5597,,Monthly,0,,,,4813
2023-2024,Metropolitan,Darebin,156322,68619,6083,64062,1170,Weekly,23602,,64062,1170,Fortnightly,12210.26,10779.22,3892.63,131.87,5548.34,,64062,Fortnightly,Yes,13679,12721.47,,1019,,,,,,1284.46,,49491.26
2023-2024,Gippsland,East Gippsland,49567,24411,6258,22250,33,Weekly,8535.71,,21952,33,Fortnightly,3580.43,2930.98,776.95,128.9,1503.78,,17566,Fortnightly,No,4680.65,4680.65,,9356,,,,,,,,16796.79
2023-2024,Metropolitan,Frankston,143111,57291,7288,57278,904,Weekly,25735,,57278,969,Fortnightly,10455,8858.52,,,,,44734,Fortnightly,Yes,17680,17556.24,,25.7,57278,0,every 4 weeks,1654,,4658.94,,53870
2023-2024,Loddon Campaspe Mallee,Gannawarra,10442,3981,2770,4264,813,Weekly,2302.92,,4264,813,Fortnightly,739.81,605.62,,,,,1555,Fortnightly,No,766.4,766.4,,18.76,,,,,,,,3809.13
